Date,Product_ID,Store_ID,Sale_Price,Promo_Name,Sales_Qty
2024-10-01,Tron-o-matic 1,Online_Store,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,LosAngeles_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,NewYork_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,NewYork_02,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,Chicago_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,Dallas_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,Houston_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,WashingtonDC_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,Atlanta_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1,Philadelphia_01,43.59,BIG_DEAL,
2024-10-01,Tron-o-matic 1 Pro,Online_Store,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,LosAngeles_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,NewYork_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,NewYork_02,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,Chicago_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,Dallas_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,Houston_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,WashingtonDC_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,Atlanta_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 1 Pro,Philadelphia_01,75.6,SMALL_DEAL,
2024-10-01,Tron-o-matic 2,Online_Store,55.0,None,
2024-10-01,Tron-o-matic 2,LosAngeles_01,55.0,None,
2024-10-01,Tron-o-matic 2,NewYork_01,55.0,None,
2024-10-01,Tron-o-matic 2,NewYork_02,55.0,None,
2024-10-01,Tron-o-matic 2,Chicago_01,55.0,None,
2024-10-01,Tron-o-matic 2,Dallas_01,55.0,None,
2024-10-01,Tron-o-matic 2,Houston_01,55.0,None,
2024-10-01,Tron-o-matic 2,WashingtonDC_01,55.0,None,
2024-10-01,Tron-o-matic 2,Atlanta_01,55.0,None,
2024-10-01,Tron-o-matic 2,Philadelphia_01,55.0,None,
2024-10-01,Tron-o-matic 2 Pro,Online_Store,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,LosAngeles_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,NewYork_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,NewYork_02,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,Chicago_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,Dallas_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,Houston_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,WashingtonDC_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,Atlanta_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 2 Pro,Philadelphia_01,80.54,SMALL_DEAL,
2024-10-01,Tron-o-matic 3,Online_Store,60.0,None,
2024-10-01,Tron-o-matic 3,LosAngeles_01,60.0,None,
2024-10-01,Tron-o-matic 3,NewYork_01,60.0,None,
2024-10-01,Tron-o-matic 3,NewYork_02,60.0,None,
